code,roboflow_class,korean_name(직접입력)
B12061,barbecue-ribs,갈비찜
B11017,braised-pork-hock,냉채족발
B11041,braised-pork-hock,족발
C02006,bread,도리야키
C02007,bread,계란빵
C02106,bread,베이글
C02125,bread,커피콩빵
C02137,bread,베이글
B12003,chicken-galbi,갈비치킨
A14107,cold-noodles,냉면
B12008,dumplings,만두
B11027,fried-chicken,양념치킨
B11069,fried-chicken,치킨
B12160,grilled-beef,
B12005,hot-pot,갈비탕
B12091,hot-pot,
B12126,mixed-rice-bowl,비빔밥
A14094,noodle-soup,쌀국수
B12161,noodle-soup,팥칼국수
B11012,rice-bowl,컵밥
B11050,rice-bowl,불고기덮밥
B11112,sandwich,샌드위치
A13010,shrimp-dish,마라새우
B11009,spicy-rice-cakes,떡볶이
B12110,spicy-seafood-noodles,짬뽕
B12086,stew,바지락된장국
B12104,stew,
B12140,sushi,전복초밥
