code,korean_name,roboflow_class,source,status
A13001,가자미구이,grilled-fish,val,ok
A13003,광어회,raw-fish,val,ok
A13004,나주곰탕,soup,val,ok
A13008,대구뽈찜,seafood-stew,val,ok
A13009,대구탕,seafood-stew,val,ok
A13010,마라새우,shrimp-dish,manual,ok
A13011,대하찜,shrimp-dish,val,ok
A13012,막회,raw-fish,val,ok
A13014,멍게비빔밥,mixed-rice-bowl,val,ok
A13015,물갈비,barbecue-ribs,val,ok
A13016,물회,raw-fish,val,ok
A13017,반계탕,soup,val,ok
A13019,산낙지회,raw-fish,val,ok
A13020,소라숙회,raw-fish,val,ok
A13021,술국,soup,val,ok
A13022,아바이순대,korean-blood-sausage,val,ok
A13023,알내장탕,seafood-stew,val,ok
A13024,어탕국수,noodle-soup,val,ok
A13026,오징어회,raw-fish,val,ok
A13028,장어튀김,fried-food-platter,val,ok
A13029,초계국수,noodle-soup,val,ok
A13030,초계탕,soup,val,ok
A13031,추어만두,dumplings,val,ok
A13032,추어전,savory-pancake,val,ok
A13033,추어전골,hot-pot,val,ok
A13034,추어칼국수,noodle-soup,val,ok
A13035,추어튀김,fried-food-platter,val,ok
A13036,해신탕,seafood-stew,val,ok
A13037,해천탕,seafood-stew,val,ok
A13038,황태국,soup,val,ok
A13039,황태국밥,rice-soup,val,ok
A13040,황태닭개장,soup,val,ok
A13041,황태닭곰탕,soup,val,ok
A13042,황태떡국,soup,val,ok
A13043,황태만두국,soup,val,ok
A13044,황태미역국,soup,val,ok
A13045,황태부대찌개,stew,val,ok
A13047,황태전골,hot-pot,val,ok
A13048,황태찜,seafood-stew,val,ok
A13049,황태콩나물해장국,soup,val,ok
A14002,가이 팟 퐁 커리,curry,val,ok
A14003,가지만두,dumplings,val,ok
A14009,고르곤졸라피자,pizza,val,ok
A14012,까르보나라파스타,pasta,val,ok
A14013,까르보네피자,pizza,val,ok
A14014,깐쇼새우,shrimp-dish,val,ok
A14015,꽃빵,bread,val,ok
A14016,꿍 팟 퐁 커리,curry,val,ok
A14018,나가사끼짬뽕,spicy-seafood-noodles,val,ok
A14019,나시고랭볶음밥,fried-rice,val,ok
A14021,나폴리피자,pizza,val,ok
A14023,날치알크림파스타,pasta,val,ok
A14024,냉라멘,ramen,val,ok
A14025,닭고기쌀국수,noodle-soup,val,ok
A14026,돈부리덮밥,rice-bowl,val,ok
A14027,돈코츠라멘,ramen,val,ok
A14028,돌체피자,pizza,val,ok
A14030,또띠아피자,pizza,val,ok
A14032,똠얌꿍쌀국수,noodle-soup,val,ok
A14034,로스카츠(등심),pork-cutlet,val,ok
A14036,로제파스타,pasta,val,ok
A14037,루꼴라피자,pizza,val,ok
A14043,마라쌀국수,noodle-soup,val,ok
A14044,마라탕,mala-hot-pot,val,ok
A14045,마르게리따피자,pizza,val,ok
