nutrient_code,nutrient_name_ko,nutrient_name_en,nutrient_group,sex,age_min_months,age_max_months,pregnancy_status,condition_detail,source_variant,reference_type,reference_amount,reference_amount_min,reference_amount_max,reference_unit,ul_amount,ul_unit,ul_amount_secondary,ul_unit_secondary,source_id,source_artifact,source_page,source_table,source_cell,errata_version,review_status,reviewer_1,reviewer_2,reviewed_at
energy_kcal,에너지,Energy,energy_macronutrient,all,0,5,none,,,EER,500,,,kcal,,,,,kns_2025_kdris_publication,kns_2025_kdri_books_summaries_errata_f4/웹용_2025 KDRI-국문 요약본.pdf,PDF p.12 / printed p.xii,2025 한국인 영양소 섭취기준 - 에너지와 다량영양소,row=0-5mo;column=EER;raw=500,2026-03-16,approved,source_check_1,source_check_2,2026-05-14
energy_kcal,에너지,Energy,energy_macronutrient,all,6,11,none,,,EER,600,,,kcal,,,,,kns_2025_kdris_publication,kns_2025_kdri_books_summaries_errata_f4/웹용_2025 KDRI-국문 요약본.pdf,PDF p.12 / printed p.xii,2025 한국인 영양소 섭취기준 - 에너지와 다량영양소,row=6-11mo;column=EER;raw=600,2026-03-16,approved,source_check_1,source_check_2,2026-05-14
energy_kcal,에너지,Energy,energy_macronutrient,all,12,35,none,,,EER,900,,,kcal,,,,,kns_2025_kdris_publication,kns_2025_kdri_books_summaries_errata_f4/웹용_2025 KDRI-국문 요약본.pdf,PDF p.12 / printed p.xii,2025 한국인 영양소 섭취기준 - 에너지와 다량영양소,row=1-2y;column=EER;raw=900,2026-03-16,approved,source_check_1,source_check_2,2026-05-14
energy_kcal,에너지,Energy,energy_macronutrient,all,36,71,none,,,EER,1400,,,kcal,,,,,kns_2025_kdris_publication,kns_2025_kdri_books_summaries_errata_f4/웹용_2025 KDRI-국문 요약본.pdf,PDF p.12 / printed p.xii,2025 한국인 영양소 섭취기준 - 에너지와 다량영양소,"row=3-5y;column=EER;raw=1,400",2026-03-16,approved,source_check_1,source_check_2,2026-05-14
energy_kcal,에너지,Energy,energy_macronutrient,female,0,1439,lactating,lactation_additional,,EER,340,,,kcal,,,,,kns_2025_kdris_publication,kns_2025_kdri_books_summaries_errata_f4/웹용_2025 KDRI-국문 요약본.pdf,PDF p.12 / printed p.xii,2025 한국인 영양소 섭취기준 - 에너지와 다량영양소,row=lactating;column=EER;raw=+340,2026-03-16,approved,source_check_1,source_check_2,2026-05-14
energy_kcal,에너지,Energy,energy_macronutrient,female,0,1439,pregnant,pregnancy_trimester_1_additional,,EER,0,,,kcal,,,,,kns_2025_kdris_publication,kns_2025_kdri_books_summaries_errata_f4/웹용_2025 KDRI-국문 요약본.pdf,PDF p.12 / printed p.xii,2025 한국인 영양소 섭취기준 - 에너지와 다량영양소,row=pregnant_trimester_1;column=EER;raw=+0,2026-03-16,approved,source_check_1,source_check_2,2026-05-14
energy_kcal,에너지,Energy,energy_macronutrient,female,0,1439,pregnant,pregnancy_trimester_2_additional,,EER,340,,,kcal,,,,,kns_2025_kdris_publication,kns_2025_kdri_books_summaries_errata_f4/웹용_2025 KDRI-국문 요약본.pdf,PDF p.12 / printed p.xii,2025 한국인 영양소 섭취기준 - 에너지와 다량영양소,row=pregnant_trimester_2;column=EER;raw=+340,2026-03-16,approved,source_check_1,source_check_2,2026-05-14
energy_kcal,에너지,Energy,energy_macronutrient,female,0,1439,pregnant,pregnancy_trimester_3_additional,,EER,450,,,kcal,,,,,kns_2025_kdris_publication,kns_2025_kdri_books_summaries_errata_f4/웹용_2025 KDRI-국문 요약본.pdf,PDF p.12 / printed p.xii,2025 한국인 영양소 섭취기준 - 에너지와 다량영양소,row=pregnant_trimester_3;column=EER;raw=+450,2026-03-16,approved,source_check_1,source_check_2,2026-05-14
energy_kcal,에너지,Energy,energy_macronutrient,female,72,107,none,,,EER,1500,,,kcal,,,,,kns_2025_kdris_publication,kns_2025_kdri_books_summaries_errata_f4/웹용_2025 KDRI-국문 요약본.pdf,PDF p.12 / printed p.xii,2025 한국인 영양소 섭취기준 - 에너지와 다량영양소,"row=female_6-8y;column=EER;raw=1,500",2026-03-16,approved,source_check_1,source_check_2,2026-05-14
energy_kcal,에너지,Energy,energy_macronutrient,female,108,143,none,,,EER,1800,,,kcal,,,,,kns_2025_kdris_publication,kns_2025_kdri_books_summaries_errata_f4/웹용_2025 KDRI-국문 요약본.pdf,PDF p.12 / printed p.xii,2025 한국인 영양소 섭취기준 - 에너지와 다량영양소,"row=female_9-11y;column=EER;raw=1,800",2026-03-16,approved,source_check_1,source_check_2,2026-05-14
energy_kcal,에너지,Energy,energy_macronutrient,female,144,179,none,,,EER,2000,,,kcal,,,,,kns_2025_kdris_publication,kns_2025_kdri_books_summaries_errata_f4/웹용_2025 KDRI-국문 요약본.pdf,PDF p.12 / printed p.xii,2025 한국인 영양소 섭취기준 - 에너지와 다량영양소,"row=female_12-14y;column=EER;raw=2,000",2026-03-16,approved,source_check_1,source_check_2,2026-05-14
energy_kcal,에너지,Energy,energy_macronutrient,female,180,227,none,,,EER,2000,,,kcal,,,,,kns_2025_kdris_publication,kns_2025_kdri_books_summaries_errata_f4/웹용_2025 KDRI-국문 요약본.pdf,PDF p.12 / printed p.xii,2025 한국인 영양소 섭취기준 - 에너지와 다량영양소,"row=female_15-18y;column=EER;raw=2,000",2026-03-16,approved,source_check_1,source_check_2,2026-05-14
