class_id,class_name,orig_train_images,orig_val_images,balanced_train_images,balanced_val_images,AP50_exp03_yolo11s,grade
0,salad,2920,450,500,100,0.9504,Strong (>=0.95)
1,mixed-rice-bowl,970,90,500,90,0.8776,Good (>=0.80)
2,rice-bowl,4010,480,500,100,0.8852,Good (>=0.80)
3,fried-rice,650,40,500,40,0.9932,Strong (>=0.95)
4,rice-soup,460,70,460,70,0.6929,Weak (<0.70)
5,rice-porridge,1920,240,500,100,0.9299,Good (>=0.80)
6,seaweed-rice-roll,2380,400,500,100,0.9456,Good (>=0.80)
7,spicy-rice-cakes,2610,350,500,100,0.8304,Good (>=0.80)
8,dumplings,1800,270,500,100,0.8926,Good (>=0.80)
9,fish-cake,480,80,480,80,0.9045,Good (>=0.80)
10,fried-food-platter,1020,100,500,100,0.9159,Good (>=0.80)
11,savory-pancake,560,60,500,60,0.9727,Strong (>=0.95)
12,korean-blood-sausage,850,140,500,100,0.9316,Good (>=0.80)
13,takoyaki,410,40,410,40,0.5817,Weak (<0.70)
14,soup,5490,750,500,100,0.738,Medium
15,stew,1620,140,500,100,0.6219,Weak (<0.70)
16,hot-pot,1880,200,500,100,0.7833,Medium
17,noodle-soup,5620,820,500,100,0.5508,Weak (<0.70)
18,cold-noodles,990,60,500,60,0.777,Medium
19,spicy-mixed-noodles,370,60,370,60,0.9561,Strong (>=0.95)
20,ramen,2760,370,500,100,0.7819,Medium
21,black-bean-noodles,390,50,390,50,0.995,Strong (>=0.95)
22,spicy-seafood-noodles,1640,150,500,100,0.4776,Weak (<0.70)
23,fried-chicken,10060,1150,500,100,0.8575,Good (>=0.80)
24,pork-cutlet,2300,250,500,100,0.9386,Good (>=0.80)
25,grilled-pork-belly,370,70,370,70,0.7979,Medium
26,grilled-beef,720,60,500,60,0.8919,Good (>=0.80)
27,barbecue-ribs,1560,210,500,100,0.8842,Good (>=0.80)
28,bulgogi,700,90,500,90,0.8023,Good (>=0.80)
29,stir-fried-pork,240,20,240,20,0.2669,Weak (<0.70)
30,braised-chicken,430,70,430,70,0.9769,Strong (>=0.95)
31,chicken-galbi,370,30,370,30,0.7971,Medium
32,braised-pork-hock,350,30,350,30,0.9721,Strong (>=0.95)
33,grilled-fish,1220,160,500,100,0.9658,Strong (>=0.95)
34,raw-fish,1650,260,500,100,0.8433,Good (>=0.80)
35,sushi,2210,250,500,100,0.921,Good (>=0.80)
36,seafood-stew,3220,510,500,100,0.5561,Weak (<0.70)
37,shrimp-dish,1460,170,500,100,0.9522,Strong (>=0.95)
38,squid-dish,100,20,100,20,0.995,Strong (>=0.95)
39,sweet-and-sour-pork,290,40,290,40,0.4426,Weak (<0.70)
40,mala-hot-pot,270,60,270,60,0.2665,Weak (<0.70)
41,dim-sum,830,70,500,70,0.9878,Strong (>=0.95)
42,udon,680,120,500,100,0.8077,Good (>=0.80)
43,pasta,5790,710,500,100,0.8946,Good (>=0.80)
44,pizza,8530,1110,500,100,0.9455,Good (>=0.80)
45,hamburger,1180,160,500,100,0.9925,Strong (>=0.95)
46,sandwich,6170,800,500,100,0.9174,Good (>=0.80)
47,curry,2890,390,500,100,0.8048,Good (>=0.80)
48,bread,11250,1290,500,100,0.7524,Medium
49,cake,1940,270,500,100,0.9322,Good (>=0.80)
