rank,class,ap50_exp07,selectstar보강,주요혼동대상,추천(DROP=12개),사용자확정
1,mala-hot-pot,0.252,?,rice-noodle-soup·korean-clear-soup·braised-chicken(분산),DROP,
2,sweet-and-sour-pork,0.36,없음,fried-food-platter·curry,DROP,
3,stir-fried-pork,0.508,없음,fried-chicken,DROP,
4,nagasaki-champon,0.595,없음,rice-noodle-soup·japanese-ramen,DROP,
5,jjamppong,0.644,없음,mala-hot-pot(역으로 mala drop시 개선),DROP,
6,fried-chicken,0.67,있음,,keep,
7,jjigae-red,0.691,?,korean-red-soup·tteokbokki-red,DROP,
8,tteokbokki-jajang,0.705,있음,,keep,
9,pork-cutlet-sauced,0.747,있음,,keep,
10,rice-soup,0.754,없음,,DROP,
11,rice-noodle-soup,0.764,있음,,keep,
12,korean-red-soup,0.784,없음,,DROP,
13,hot-pot,0.79,?,,DROP,
14,korean-clear-soup,0.79,없음,,DROP,
15,cold-ramen,0.809,없음,,DROP,
16,seafood-spicy-tang,0.812,없음,,DROP,
17,noodle-plain,0.822,없음,,keep,
18,seafood-jjim,0.822,없음,,keep,
19,bulgogi,0.827,있음,,keep,
20,seafood-clear-tang,0.827,없음,,keep,
21,japanese-ramen,0.833,있음,,keep,
22,udon,0.86,있음,,keep,
23,fried-food-platter,0.862,없음,,keep,
24,spicy-mixed-noodles,0.863,없음,,keep,
25,takoyaki,0.866,있음,,keep,
26,curry,0.88,있음,,keep,
27,cold-noodles,0.886,없음,,keep,
28,dumplings,0.886,?,,keep,
29,bread,0.89,없음,,keep,
30,grilled-beef,0.894,있음,,keep,
31,raw-fish,0.894,있음,,keep,
32,rice-bowl,0.894,없음,,keep,
33,doenjang-jjigae,0.896,없음,,keep,
34,mixed-rice-bowl,0.897,있음,,keep,
35,tteokbokki-cream-rose,0.9,있음,,keep,
36,tteokbokki-red,0.909,있음,,keep,
37,pork-cutlet-dry,0.91,있음,,keep,
38,barbecue-ribs,0.914,있음,,keep,
39,grilled-pork-belly,0.917,있음,,keep,
40,pasta,0.92,있음,,keep,
41,seaweed-rice-roll,0.922,있음,,keep,
42,salad,0.923,있음,,keep,
43,savory-pancake,0.93,있음,,keep,
44,sandwich,0.937,있음,,keep,
45,kalguksu,0.949,없음,,keep,
46,korean-blood-sausage,0.95,없음,,keep,
47,sushi,0.954,있음,,keep,
48,fish-cake,0.955,없음,,keep,
49,grilled-fish,0.956,없음,,keep,
50,shrimp-dish,0.957,없음,,keep,
51,rice-porridge,0.962,없음,,keep,
52,braised-chicken,0.967,없음,,keep,
53,braised-pork-hock,0.974,있음,,keep,
54,cake,0.974,있음,,keep,
55,dim-sum,0.983,있음,,keep,
56,western-cream-soup,0.985,있음,,keep,
57,korean-ramyeon-red,0.987,있음,,keep,
58,squid-dish,0.991,없음,,keep,
59,pizza,0.992,있음,,keep,
60,black-bean-noodles,0.995,있음,,keep,
61,fried-rice,0.995,있음,,keep,
62,hamburger,0.995,있음,,keep,
