class,ap50,ap50_95
mala-hot-pot,0.2401,0.2153
sweet-and-sour-pork,0.2911,0.2759
stir-fried-pork,0.4373,0.417
seafood-spicy-tang,0.6402,0.5994
nagasaki-champon,0.6543,0.6543
jjigae-red,0.6554,0.6392
jjamppong,0.6559,0.6473
rice-soup,0.6982,0.6861
korean-red-soup,0.7063,0.6752
takoyaki,0.7132,0.6523
rice-noodle-soup,0.7163,0.6352
korean-clear-soup,0.7419,0.682
seafood-clear-tang,0.7481,0.6601
cold-noodles,0.7539,0.7441
udon,0.7683,0.7596
hot-pot,0.7724,0.7343
bulgogi,0.7781,0.7599
pork-cutlet-sauced,0.7803,0.6972
tteokbokki-jajang,0.7892,0.7618
bread,0.8011,0.784
noodle-plain,0.8101,0.795
spicy-mixed-noodles,0.8323,0.8264
doenjang-jjigae,0.8419,0.8419
tteokbokki-cream-rose,0.8439,0.8208
grilled-beef,0.8445,0.812
barbecue-ribs,0.863,0.813
raw-fish,0.8642,0.8229
seafood-jjim,0.8656,0.8233
grilled-pork-belly,0.8662,0.8026
japanese-ramen,0.8727,0.8421
mixed-rice-bowl,0.8816,0.8701
dumplings,0.8839,0.8603
tteokbokki-red,0.8877,0.8725
cold-ramen,0.8888,0.8888
curry,0.8939,0.863
savory-pancake,0.8944,0.8444
kalguksu,0.8945,0.8529
fried-chicken,0.8963,0.8523
seaweed-rice-roll,0.9057,0.8714
pork-cutlet-dry,0.911,0.8686
fried-food-platter,0.9112,0.856
grilled-fish,0.9112,0.8838
shrimp-dish,0.9236,0.8611
rice-bowl,0.9291,0.8838
fish-cake,0.9312,0.8842
squid-dish,0.9356,0.9356
pasta,0.9471,0.9003
salad,0.9473,0.9249
pizza,0.9581,0.8914
sandwich,0.9621,0.9389
sushi,0.9622,0.9333
rice-porridge,0.9623,0.9098
korean-blood-sausage,0.9629,0.9169
braised-chicken,0.9708,0.9509
cake,0.9724,0.9458
korean-ramyeon-red,0.9865,0.9221
western-cream-soup,0.9906,0.9569
braised-pork-hock,0.9918,0.9918
fried-rice,0.9928,0.9573
dim-sum,0.9936,0.9206
hamburger,0.9945,0.9317
black-bean-noodles,0.995,0.995
