class,train_avail,poor,exp10,exp11,delta
barbecue-ribs,1840,False,0.9082,0.9137,0.0055
black-bean-noodles,390,True,0.995,0.995,0.0
braised-chicken,430,True,0.9829,0.9649,-0.018
braised-pork-hock,350,True,0.9841,0.9203,-0.0638
bread,11820,False,0.7227,0.9185,0.1958
bulgogi,700,False,0.7618,0.837,0.0752
cake,1940,False,0.9659,0.9702,0.0043
cold-noodles,990,False,0.7252,0.9092,0.184
cold-ramen,280,True,0.9506,0.9859,0.0353
curry,2630,False,0.9021,0.9227,0.0206
dim-sum,830,False,0.9944,0.9944,0.0
doenjang-jjigae,540,False,0.9045,0.9267,0.0222
dumplings,1800,False,0.9142,0.8994,-0.0148
fish-cake,480,True,0.9356,0.9568,0.0212
fried-chicken,10550,False,0.8681,0.9203,0.0522
fried-food-platter,1020,False,0.9448,0.9422,-0.0026
fried-rice,650,False,0.9926,0.9928,0.0002
grilled-beef,580,False,0.8965,0.9652,0.0687
grilled-fish,1220,False,0.9427,0.929,-0.0137
grilled-pork-belly,370,True,0.9388,0.9195,-0.0193
hamburger,1180,False,0.994,0.9909,-0.0031
hot-pot,1560,False,0.7991,0.7842,-0.0149
japanese-ramen,1730,False,0.8536,0.8809,0.0273
jjamppong,960,False,0.6731,0.7017,0.0286
jjigae-red,930,False,0.6207,0.7116,0.0909
kalguksu,1320,False,0.8918,0.899,0.0072
korean-blood-sausage,850,False,0.9651,0.9387,-0.0264
korean-clear-soup,3190,False,0.7426,0.8219,0.0793
korean-ramyeon-red,750,False,0.9922,0.989,-0.0032
korean-red-soup,1250,False,0.7681,0.7721,0.004
mixed-rice-bowl,970,False,0.8822,0.8879,0.0057
nagasaki-champon,430,True,0.6484,0.8992,0.2508
noodle-plain,1160,False,0.7957,0.8055,0.0098
pasta,5790,False,0.9421,0.9555,0.0134
pizza,8530,False,0.9695,0.9552,-0.0143
pork-cutlet-dry,1680,False,0.9674,0.9624,-0.005
pork-cutlet-sauced,880,False,0.7595,0.7497,-0.0098
raw-fish,1910,False,0.8472,0.8772,0.03
rice-bowl,3520,False,0.8983,0.9227,0.0244
rice-noodle-soup,3140,False,0.7787,0.7448,-0.0339
rice-porridge,1920,False,0.9692,0.9722,0.003
rice-soup,460,True,0.7672,0.8195,0.0523
salad,2680,False,0.9641,0.9552,-0.0089
sandwich,6170,False,0.9716,0.9744,0.0028
savory-pancake,800,False,0.7625,0.96,0.1975
seafood-clear-tang,1400,False,0.8363,0.7749,-0.0614
seafood-jjim,690,False,0.8476,0.8498,0.0022
seafood-spicy-tang,1130,False,0.7674,0.7286,-0.0388
seaweed-rice-roll,2380,False,0.9203,0.9124,-0.0079
shrimp-dish,1460,False,0.9424,0.9785,0.0361
spicy-mixed-noodles,370,True,0.8326,0.7425,-0.0901
squid-dish,100,True,0.9355,0.8897,-0.0458
sushi,2210,False,0.9432,0.9769,0.0337
takoyaki,410,True,0.8895,0.7709,-0.1186
tteokbokki-cream-rose,880,False,0.8855,0.9008,0.0153
tteokbokki-jajang,230,True,0.7865,0.7914,0.0049
tteokbokki-red,1500,False,0.8876,0.9242,0.0366
udon,680,False,0.811,0.8566,0.0456
western-cream-soup,1220,False,0.9751,0.9917,0.0166
