class,ap50
jjamppong,0.7017
jjigae-red,0.7116
seafood-spicy-tang,0.7286
spicy-mixed-noodles,0.7425
rice-noodle-soup,0.7448
pork-cutlet-sauced,0.7497
takoyaki,0.7709
korean-red-soup,0.7721
seafood-clear-tang,0.7749
hot-pot,0.7842
tteokbokki-jajang,0.7914
noodle-plain,0.8055
rice-soup,0.8195
korean-clear-soup,0.8219
bulgogi,0.837
seafood-jjim,0.8498
udon,0.8566
raw-fish,0.8772
japanese-ramen,0.8809
mixed-rice-bowl,0.8879
squid-dish,0.8897
kalguksu,0.899
nagasaki-champon,0.8992
dumplings,0.8994
tteokbokki-cream-rose,0.9008
cold-noodles,0.9092
seaweed-rice-roll,0.9124
barbecue-ribs,0.9137
bread,0.9185
grilled-pork-belly,0.9195
braised-pork-hock,0.9203
fried-chicken,0.9203
curry,0.9227
rice-bowl,0.9227
tteokbokki-red,0.9242
doenjang-jjigae,0.9267
grilled-fish,0.929
korean-blood-sausage,0.9387
fried-food-platter,0.9422
pizza,0.9552
salad,0.9552
pasta,0.9555
fish-cake,0.9568
savory-pancake,0.96
pork-cutlet-dry,0.9624
braised-chicken,0.9649
grilled-beef,0.9652
cake,0.9702
rice-porridge,0.9722
sandwich,0.9744
sushi,0.9769
shrimp-dish,0.9785
cold-ramen,0.9859
korean-ramyeon-red,0.989
hamburger,0.9909
western-cream-soup,0.9917
fried-rice,0.9928
dim-sum,0.9944
black-bean-noodles,0.995
