file,keep,category,matched_class,foods,note
orig_1.2.3김밥_1723254929_p_1779240253282_1.jpg,DROP,ood,none,"오므라이스(소스), 양배추샐러드, 단무지, 김치",메인이 오므라이스(계란말이밥) - 59클래스에 없음
orig_1.2.3김밥_1723254929_p_1779240253311_5.jpg,KEEP,single_in,seaweed-rice-roll,"김밥, 맑은국, 단무지, 김치","한 접시 김밥 단일 메인, 국·반찬은 곁들이"
orig_1.2.3김밥_1723254929_p_1779240254979_21.jpg,DROP,multi,none,"김밥 2줄, 라면 여러 그릇",김밥과 라면 등 서로 다른 메인 여러 접시 한상차림
orig_1.2.3김밥_1723254929_p_1779240255051_26.jpg,KEEP,single_in,seaweed-rice-roll,"김밥, 단무지, 김치","한 접시 김밥 단일 메인, 단면 포함, 반찬은 곁들이"
orig_1.2.3김밥_1723254929_p_1779240262139_45.jpg,DROP,ood,none,"오므라이스(소스), 샐러드, 단무지, 김치, 맑은국",메인이 오므라이스 - 59클래스에 없음
orig_1.2.3김밥_1723254929_p_1779240262152_46.jpg,DROP,ood,none,"오므라이스(소스, 단면 볶음밥), 샐러드, 단무지, 김치",메인이 오므라이스(계란 볶음밥) - 59클래스에 없음
orig_1.2.3김밥_1723254929_p_1779240266487_70.jpg,KEEP,single_in,pork-cutlet-sauced,"소스돈가스(크림소스), 밥, 샐러드, 김치, 단무지, 맑은국","소스 끼얹은 돈가스가 단일 메인, 밥·샐러드·국은 곁들이"
orig_1.2.3김밥_1723254929_p_1779240275309_72.jpg,KEEP,single_in,seaweed-rice-roll,"김밥, 김치, 단무지, 국","김밥 한 줄이 단일 메인, 김치·단무지는 곁들이"
orig_1.2.3김밥_1723254929_p_1779240275806_81.jpg,DROP,multi,none,"라면(빨간국물, 콩나물) 2그릇, 음료, 김치, 단무지",같은 면요리 큰 그릇 2개(앞·뒤)로 다인분 한상
orig_1.2.3김밥_1723254929_p_1779240275832_85.jpg,KEEP,single_in,tteokbokki-red,"떡볶이(빨간 양념), 삶은 계란","빨간 떡볶이가 단일 메인, 계란은 토핑"
orig_1.2.3김밥_1723254929_p_1779240277839_89.jpg,KEEP,single_in,mixed-rice-bowl,"비빔밥(계란프라이·나물·김 토핑) 포장, 반찬 여러개, 국","비빔밥 한 그릇이 단일 메인, 주변 컵은 곁들이 반찬"
orig_1.2.3김밥_1723254929_p_1779240277849_90.jpg,DROP,ood,none,"오므라이스(크림·그레이비 소스), 샐러드, 김치",오므라이스는 음식이나 59클래스에 없음
orig_20240110_065511.jpg,KEEP,single_in,fried-rice,"김치볶음밥, 계란프라이","메인은 김치볶음밥(볶음밥) 단일, 계란프라이는 곁들이 수준"
orig_20240111_125851.jpg,DROP,scene_nonfood,none,"포장 햇반, 밀폐포장 닭가슴살, 브로콜리","조리 전 포장 식재료를 바닥에 늘어놓은 장면, 플레이팅된 요리 아님"
orig_20240112_121312.jpg,DROP,multi,none,"흰밥+삶은 고기 도시락, 매운 콩나물무침, 별도 반찬통",여러 용기에 밥+고기 도시락과 매운 무침 등 서로 다른 메인 2접시 이상
orig_20240113_015602.jpg,KEEP,single_in,bread,베이글(빵) 1개,"접시 위 베이글 단일, bread 명확"
orig_20240114_030138.jpg,DROP,borderline_dropped,none,"흰밥, 삶은 닭가슴살/두부, 김치","밥과 삶은 닭가슴살이 대등한 다이어트 플레이트, 59클래스 단일 메인으로 애매"
orig_20240114_072327.jpg,KEEP,single_in,bread,"빵(롤/베이글) 2개, 포장 소스","같은 빵 여러 개 한 그릇=동일음식 단일, bread 매칭"
orig_20240114_082748.jpg,KEEP,single_in,sandwich,"아이스 아메리카노, 계란 샌드위치","메인 샌드위치 1개 뚜렷, 음료는 곁들이로 무시"
orig_20240115_011144.jpg,DROP,scene_nonfood,none,"뚜껑 덮인 음료/국 용기, 비닐포장 떡류, 김치",메인이 뚜껑·비닐포장으로 가려져 음식 식별 불가
