fixture_id,category_key,category_display_name,brand_candidate_display_name,brand_candidate_key,source_product_id,image_count,detail_page_count,review_count,decision,reviewed_manufacturer,reviewed_product_name,reason_codes
brand_cf852fedbfc56ff24b66fe7c,루테인_눈,루테인_눈,내츄럴플러스,내츄럴플러스,4486595616,431,2,429,,,,
brand_f95ed735776eb1117af21a75,루테인_눈,루테인_눈,고려은단,고려은단,9396259383,501,501,0,,,,
brand_ee18dbff8a63a5e1b1072973,루테인_눈,루테인_눈,뉴트리코스트,뉴트리코스트,4483543550,528,30,498,,,,
brand_73b8d4294ac9814bf1fd9019,루테인_눈,루테인_눈,유한양행,유한양행,9496588832,503,4,499,,,,
brand_a27d98385db85fa8848a223d,루테인_눈,루테인_눈,종근당,종근당,12248174696,499,1,498,,,,
brand_deb9438dd3c66a6f9397468a,루테인_눈,루테인_눈,종근당,종근당,13170532379,500,2,498,,,,
brand_28a20bcf535cc1c9c0d941d3,루테인_눈,루테인_눈,종근당건강,종근당건강,6468944204,500,2,498,,,,
brand_65cc2ee08efcb8fed7ee5c90,마그네슘,마그네슘,닥터스베스트,닥터스베스트,8735610330,430,33,397,,,,
brand_695b96a976eb54bfb30e6a93,마그네슘,마그네슘,닥터스베스트,닥터스베스트,8735610330,332,35,297,,,,
brand_757d54b2baf9296200d747ff,마그네슘,마그네슘,블루보넷뉴트리션,블루보넷뉴트리션,10092927627,189,33,156,,,,
brand_0fb0e308d4ef1c67b31918df,마그네슘,마그네슘,블루보넷뉴트리션,블루보넷뉴트리션,10092878632,201,34,167,,,,
brand_168a9ca3bc58ead9fe60e751,마그네슘,마그네슘,프롬바이오,프롬바이오,11453656014,504,6,498,,,,
brand_6371f2a030adbfe5ea1709a8,마그네슘,마그네슘,바디닥터스,바디닥터스,12727468269,508,10,498,,,,
brand_c548b00a7e6e00f386d1c241,마그네슘,마그네슘,닥터린,닥터린,12158331319,505,6,499,,,,
brand_45fe3f9afaf221369e684f30,마그네슘,마그네슘,락티브,락티브,10718901024,503,3,500,,,,
brand_8ca5eed3f0cbb40e12d29805,마그네슘,마그네슘,나우푸드,나우푸드,6736392522,1,1,0,,,,
brand_8e608b9b4a409c2ef5d77341,마그네슘,마그네슘,고려은단,고려은단,13099090066,395,395,0,,,,
brand_46d36cc8190be7d9c04a662f,마그네슘,마그네슘,뉴트리코스트,뉴트리코스트,723983672,326,26,300,,,,
brand_0ef7a5e0159a941ef24cce03,마그네슘,마그네슘,세노비스,세노비스,585365239,504,10,494,,,,
brand_0360ef1dccf49038b20704b7,마그네슘,마그네슘,쏜리서치,쏜리서치,12167072327,519,22,497,,,,
brand_476ab5a0583132bfaf2d4ed7,마그네슘,마그네슘,쏜리서치,쏜리서치,12167054148,504,9,495,,,,
brand_4518ebf666533cc19a8bcc57,마그네슘,마그네슘,종근당건강,종근당건강,7367951526,500,1,499,,,,
brand_7f6aa964bef7cf5ba2166725,마그네슘,마그네슘,종근당건강,종근당건강,10713978085,43,1,42,,,,
brand_0b6a974a5fa190cbf712f0ce,멀티비타민,멀티비타민,네이처스웨이,네이처스웨이,11524270725,66,34,32,,,,
brand_f66af7e3aec5682c0de38cdb,멀티비타민,멀티비타민,네이처스웨이,네이처스웨이,10385481809,60,36,24,,,,
brand_274a75b1c95ff5e66f3f9169,멀티비타민,멀티비타민,네이처스웨이,네이처스웨이,8785090160,152,36,116,,,,
brand_9502e75298dbfdb44140a242,멀티비타민,멀티비타민,라이프익스텐션,라이프익스텐션,11324973919,282,35,247,,,,
brand_7f408f0a56830a298777b74e,멀티비타민,멀티비타민,세노비스,세노비스,11584890854,501,2,499,,,,
