epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,5288.5,0.92855,2.94584,1.41342,0.38727,0.40771,0.37933,0.28741,0.9638,1.6093,1.6315,0.00999558,0.00333186,0.00999558,0.00333186,0.00999558,0.00333186,0.00999558,0.00333186
2,9659.22,0.86161,1.85391,1.31302,0.46779,0.46631,0.45826,0.3701,0.78261,1.35018,1.42225,0.0195997,0.00653322,0.0195997,0.00653322,0.0195997,0.00653322,0.0195997,0.00653322
3,14025.9,0.85454,1.57401,1.30084,0.52216,0.52999,0.53485,0.44042,0.71412,1.10005,1.37412,0.0288078,0.00960259,0.0288078,0.00960259,0.0288078,0.00960259,0.0288078,0.00960259
4,18398.5,0.7952,1.41218,1.26348,0.58117,0.60184,0.63939,0.55271,0.57154,0.87143,1.22348,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,22779.2,0.73149,1.24172,1.22163,0.64869,0.63893,0.69073,0.61163,0.49012,0.75429,1.14702,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,27160.1,0.69536,1.14307,1.19814,0.71656,0.683,0.7455,0.66993,0.45987,0.68896,1.11489,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,31532.7,0.67682,1.08638,1.18788,0.75745,0.67673,0.75664,0.68623,0.43026,0.65517,1.08756,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,36294.9,0.65966,1.03216,1.17567,0.74263,0.70658,0.76697,0.69719,0.4194,0.63223,1.0782,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,41191.5,0.64662,0.98634,1.16753,0.73844,0.71551,0.77557,0.70763,0.40961,0.61602,1.06885,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,46347.5,0.6388,0.96413,1.16138,0.74412,0.71742,0.78166,0.71416,0.4034,0.60926,1.06289,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,51674.2,0.62936,0.93432,1.1574,0.75382,0.71518,0.78415,0.71793,0.39505,0.60095,1.05574,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,57219.1,0.62303,0.91276,1.1523,0.75317,0.72423,0.78828,0.72415,0.3886,0.59216,1.04945,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,62887.7,0.61492,0.8961,1.14771,0.76199,0.73039,0.79513,0.73201,0.38298,0.5822,1.04368,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,69027.1,0.611,0.87431,1.14399,0.78369,0.71942,0.80039,0.73786,0.37867,0.57403,1.03921,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,74179.1,0.60681,0.85748,1.14101,0.78154,0.73073,0.80654,0.7448,0.37424,0.56538,1.03454,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
