epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,598.667,1.01214,2.82088,1.485,0.38897,0.48555,0.44254,0.3355,0.98527,1.85371,1.676,0.00998611,0.0033287,0.00998611,0.0033287,0.00998611,0.0033287,0.00998611,0.0033287
2,1368.45,0.96179,1.88967,1.38373,0.34363,0.43457,0.33892,0.2573,0.94367,2.2471,1.61978,0.0195904,0.00653013,0.0195904,0.00653013,0.0195904,0.00653013,0.0195904,0.00653013
3,2209.02,1.02224,1.99476,1.41582,0.19512,0.30873,0.18018,0.1142,1.37075,2.55523,2.18641,0.0287987,0.00959955,0.0287987,0.00959955,0.0287987,0.00959955,0.0287987,0.00959955
4,3051.73,1.04037,2.05079,1.41752,0.36352,0.41901,0.37951,0.28633,0.88916,1.97184,1.57726,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3795.74,0.93497,1.77728,1.34494,0.47856,0.53805,0.48465,0.37616,0.85036,1.64213,1.48839,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,4638.42,0.87116,1.60607,1.30272,0.52014,0.5874,0.56757,0.46312,0.72252,1.4241,1.36432,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,5477.42,0.82974,1.48519,1.2748,0.60601,0.58714,0.60624,0.50482,0.66751,1.31843,1.29729,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,6225.76,0.79532,1.39091,1.25215,0.63514,0.63711,0.66583,0.56375,0.63598,1.18432,1.27178,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,6976.43,0.76476,1.30147,1.23151,0.6418,0.65672,0.67914,0.58962,0.55008,1.1264,1.19041,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,7726.82,0.74023,1.22153,1.21271,0.66583,0.65042,0.6989,0.609,0.54631,1.04406,1.19534,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,8478.74,0.72967,1.17142,1.20664,0.68203,0.6952,0.74712,0.65733,0.50386,0.95563,1.15733,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,9230.85,0.71107,1.12157,1.19518,0.72178,0.6921,0.74828,0.65929,0.50073,0.94309,1.14216,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,9982.12,0.6966,1.0661,1.18332,0.71661,0.72025,0.76383,0.67666,0.48021,0.90688,1.13047,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,10733.4,0.6845,1.02617,1.1779,0.73355,0.70773,0.76285,0.67914,0.47718,0.90951,1.1184,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,11481.9,0.67148,0.98595,1.16888,0.75236,0.69804,0.76248,0.67758,0.47046,0.94278,1.11429,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,12231.4,0.66431,0.95319,1.16679,0.7613,0.74027,0.80243,0.7219,0.44313,0.84164,1.08556,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,12981.3,0.65077,0.92109,1.15477,0.74328,0.74488,0.78964,0.71173,0.44162,0.86597,1.08457,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,13731,0.64551,0.89977,1.15012,0.78596,0.73657,0.80035,0.73099,0.41805,0.831,1.06285,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,14440.2,0.63072,0.8581,1.14242,0.78417,0.75228,0.79876,0.72487,0.41583,0.81177,1.06851,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,15189.7,0.62559,0.84638,1.13999,0.77844,0.76665,0.80632,0.73946,0.40271,0.82237,1.05737,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,15938,0.61982,0.81822,1.13546,0.80148,0.74656,0.80669,0.741,0.38697,0.80223,1.03726,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,16687.3,0.60711,0.7912,1.12867,0.79373,0.76849,0.81535,0.74945,0.39078,0.75712,1.03973,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,17439.7,0.60625,0.77522,1.12588,0.79429,0.78024,0.82601,0.76569,0.36682,0.75611,1.01931,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,18189.5,0.597,0.7572,1.12012,0.80047,0.7637,0.81874,0.75949,0.37141,0.75831,1.02264,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,18943,0.58808,0.73743,1.11443,0.77783,0.77952,0.82019,0.76017,0.36526,0.77215,1.01719,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,19695,0.57918,0.71367,1.11035,0.81177,0.75395,0.82191,0.76409,0.35533,0.76695,1.01095,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,20446,0.5796,0.70432,1.10765,0.82329,0.76606,0.82683,0.77239,0.34624,0.75425,1.00331,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,21197,0.56625,0.68481,1.10215,0.81295,0.7811,0.82919,0.7755,0.33405,0.74509,0.99139,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,21945.5,0.56058,0.66724,1.09721,0.81766,0.76734,0.8328,0.78034,0.33138,0.74452,0.98869,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,22694.4,0.55948,0.65642,1.09947,0.83004,0.76907,0.82943,0.77816,0.32939,0.74066,0.98893,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,23443,0.55023,0.64242,1.0917,0.82208,0.77061,0.82781,0.77739,0.32673,0.74559,0.98773,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,24191,0.54967,0.63684,1.09005,0.80668,0.78659,0.8289,0.77929,0.32436,0.76668,0.98375,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
