epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,223.021,1.01054,4.1652,1.51268,0.21833,0.33249,0.18692,0.13506,1.12377,2.55995,1.83215,0.00997917,0.00332639,0.00997917,0.00332639,0.00997917,0.00332639,0.00997917,0.00332639
2,438.522,1.01452,2.98965,1.44572,0.23838,0.31871,0.19557,0.12756,1.21869,2.63863,1.94842,0.0195836,0.00652786,0.0195836,0.00652786,0.0195836,0.00652786,0.0195836,0.00652786
3,653.375,1.07485,2.69434,1.46178,0.16823,0.12443,0.06115,0.03752,1.42202,4.31972,2.22569,0.028792,0.00959733,0.028792,0.00959733,0.028792,0.00959733,0.028792,0.00959733
4,868.453,1.06421,2.33121,1.44014,0.23366,0.32688,0.19567,0.14768,1.06576,2.70983,1.74365,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1083.59,0.97419,1.99708,1.37403,0.34267,0.43392,0.37413,0.28251,0.9495,1.85893,1.62741,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1298.83,0.91963,1.82667,1.33982,0.3499,0.48996,0.39743,0.31023,0.87472,1.72095,1.53502,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1512.84,0.87527,1.69938,1.30855,0.45055,0.51064,0.45938,0.36016,0.8534,1.63368,1.51813,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1727.72,0.85033,1.60293,1.29163,0.48207,0.53355,0.50444,0.39784,0.81765,1.53648,1.4739,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1946.14,0.81624,1.52165,1.2677,0.49909,0.53966,0.53312,0.42728,0.78199,1.42133,1.43892,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2163.4,0.79892,1.45511,1.25525,0.49433,0.52184,0.52489,0.425,0.77299,1.45148,1.45727,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2380.39,0.78001,1.40226,1.24581,0.52112,0.55019,0.55482,0.4625,0.69538,1.3973,1.33948,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2597.01,0.76535,1.35972,1.23628,0.57947,0.58461,0.61191,0.51384,0.66284,1.2333,1.3075,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2812.72,0.74796,1.30121,1.22173,0.60915,0.59331,0.62759,0.52309,0.66891,1.21715,1.32694,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3027.06,0.73828,1.2638,1.21438,0.65069,0.63769,0.67386,0.58092,0.61962,1.07182,1.27025,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3242,0.73035,1.24234,1.20885,0.63818,0.63677,0.67906,0.58609,0.60038,1.05813,1.24911,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3457.31,0.72237,1.21039,1.20537,0.62575,0.64888,0.66746,0.58315,0.58837,1.08536,1.24082,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3671.56,0.71416,1.18088,1.20235,0.64629,0.64783,0.68843,0.59793,0.57781,1.03963,1.23924,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3886.33,0.70526,1.14842,1.19316,0.65437,0.6782,0.71644,0.62657,0.56278,0.9836,1.20905,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,4101.6,0.69357,1.10933,1.18717,0.69604,0.66417,0.72162,0.63065,0.56161,0.96872,1.20737,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,4316.33,0.69093,1.09612,1.18661,0.67433,0.6781,0.72392,0.63622,0.55326,0.94058,1.19847,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,4530.91,0.67299,1.05862,1.17298,0.67239,0.70427,0.73518,0.6522,0.52808,0.89002,1.17952,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,4744.93,0.67123,1.04763,1.17286,0.6769,0.70778,0.74354,0.66081,0.52067,0.89448,1.17178,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,4959.95,0.66818,1.03011,1.16808,0.68087,0.70671,0.74282,0.66012,0.51566,0.88908,1.16412,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,5186.79,0.6579,1.00576,1.16174,0.68808,0.70162,0.74782,0.66619,0.51357,0.87446,1.16334,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,5418.47,0.65001,0.98427,1.15783,0.69414,0.70091,0.75137,0.67139,0.50627,0.86474,1.15589,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,5633.14,0.64606,0.9644,1.15547,0.70185,0.70705,0.75323,0.67404,0.49868,0.84929,1.14987,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,5851.43,0.63861,0.94763,1.1508,0.72005,0.69648,0.75874,0.68109,0.49183,0.83691,1.14282,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,6069.03,0.63691,0.92748,1.15052,0.70725,0.71567,0.76546,0.68852,0.48664,0.82154,1.13699,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,6282.59,0.62802,0.91188,1.14375,0.71825,0.71233,0.7671,0.69087,0.48294,0.82034,1.13289,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,6500.62,0.62586,0.90626,1.14759,0.72598,0.71573,0.7706,0.69508,0.47721,0.81459,1.12756,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,6718.48,0.6204,0.88092,1.13974,0.72018,0.7234,0.77215,0.69735,0.47342,0.80815,1.12401,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,6935.31,0.61476,0.87172,1.13559,0.73903,0.70322,0.77381,0.70002,0.46844,0.80264,1.11909,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,7152.8,0.60846,0.85551,1.1326,0.73093,0.71156,0.77382,0.70051,0.4663,0.79968,1.11741,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,7369.78,0.59668,0.82896,1.12444,0.73369,0.71431,0.77487,0.70205,0.46342,0.79583,1.11558,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,7585.39,0.59647,0.82438,1.12392,0.73718,0.71272,0.77546,0.70254,0.46141,0.79382,1.11363,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,7802.5,0.59127,0.81567,1.12136,0.73408,0.7162,0.7759,0.70389,0.45872,0.79055,1.11166,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,8019.29,0.5896,0.80365,1.11966,0.72119,0.73407,0.77726,0.70558,0.45678,0.7875,1.10939,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,8236.11,0.58194,0.78265,1.11768,0.72328,0.73302,0.77814,0.70645,0.45498,0.7841,1.10778,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,8452.11,0.57494,0.7689,1.11275,0.72999,0.72705,0.77939,0.7084,0.45302,0.78051,1.10618,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,8668.61,0.56991,0.76245,1.10979,0.73209,0.72477,0.77968,0.70908,0.45119,0.77801,1.10468,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,8906.82,0.46332,0.4283,1.11838,0.73671,0.72462,0.78067,0.71141,0.4447,0.77414,1.0988,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,9122.62,0.44355,0.39972,1.10112,0.74267,0.72049,0.78274,0.71449,0.43796,0.76922,1.09267,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,9339.7,0.43145,0.37364,1.08973,0.74586,0.72069,0.78439,0.71773,0.43106,0.76467,1.08627,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,9556.23,0.4192,0.36216,1.07912,0.7432,0.72172,0.78517,0.71954,0.42515,0.76191,1.08083,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,9772.63,0.40977,0.34316,1.07226,0.7434,0.72335,0.7862,0.72158,0.41972,0.75898,1.07563,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,9988.48,0.40151,0.32767,1.06472,0.74493,0.72346,0.78725,0.72385,0.4147,0.75597,1.07083,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
